keyword	avg_score
聚礼	0.01691666804254055
彩皇	0.016794830560684204
佳满多	0.005100638139992952
脉搏	0.014017106965184212
建菱	4.6141896746121347E-4
彩登	0.010831275954842567
胡椒	0.008380378596484661
普瑞米特	3.000000142492354E-4
能新	0.005065588746219873
国钢科贸	0.001311366562731564
小博士	0.07427281141281128
网馆	0.011302703060209751
微游	0.03067241688646997
新利多	0.007219831459224224
忆正	0.024420298635959625
形睿	0.015388820320367813
德洲	0.00910069834208116
庚辰	0.003002782817929983
腾嘉	0.003889893414452672
怡恒	2.500000118743628E-4
中化纺	0.01725960150361061
永泰隆	0.005914619658142328
德派	1.0000000474974513E-4
鑫盛博海	2.500000118743628E-4
德浓	0.003473457880318165
彩盈	0.010202844627201557
群辉	1.0000000474974513E-4
德济	0.0017628250643610954
德浦	5.0000002374872565E-5
博士山	0.016374696046113968
天诺德	0.012903792783617973
群达	0.01442625792697072
汉萨福莱柯思	5.0000002374872565E-5
微普特	2.500000118743628E-4
快服	0.04033688548952341
帝鼎	0.021581238135695457
德浩	0.03701169788837433
怡悦	1.0000000474974513E-4
图科宏润	5.0000002374872565E-5
姚生记	0.012538513168692589
德海	0.01841302588582039
派乐玛	0.004895728547126055
微源	0.0034613986499607563
唯信高鼎	5.0000002374872565E-5
肖特	0.07009699940681458
小牛顿	0.02608049102127552
彪盛	2.500000118743628E-4
永丰余	0.06788913570344449
圣昌达	0.009650473482906818
德润	0.0653110246371048
平铝	0.0017047837609425187
库都	0.015382391400635242
千子桐	0.0020879670046269894
恋家	0.006248606368899345
弘胜	5.0000002374872565E-5
彬皮	0.021619075909256935
声光像	5.0000002374872565E-5
泰得思达	5.0000002374872565E-5
大正天	5.0000002374872565E-5
城发展有限公司	0.028113089967519045
耐苛	1.0000000474974513E-4
聚秦	3.000000142492354E-4
心水	0.004371575079858303
泰豪联星	0.0014207528438419104
